,latitude,longitude
130,55.628325,37.673669
131,55.878415,38.455342
132,55.714445,37.626525
133,55.613923,37.697929
134,55.790342,37.520919
135,55.784484,37.531774
136,55.884574,37.7432
137,55.692315,37.565909
138,55.655727,37.486338
139,55.675739,37.67038
140,55.677436,37.681462
141,55.680966,37.687747
142,55.703275,37.810949
143,55.843745,37.565502
144,55.880377,37.691289
145,55.739722,37.685983
146,55.805711,37.324043
147,55.698715,37.840253
148,55.699428,37.841172
149,55.629221,37.52287
150,55.789399,37.576827
151,55.636861,37.540195
152,55.883862,37.649745
153,55.884222,37.651569
154,55.697269,37.85448
155,55.697141,37.855028
156,55.699895,37.557199
157,55.62835,37.52302
158,55.701756,37.736551
159,55.634469,37.534447
160,55.862744,38.450226
161,55.86678,37.677086
162,55.777017,37.545113
163,55.827101,37.454734
164,55.76651,37.584733
165,55.70162,37.844643
166,55.567866,38.222001
167,55.743039,37.656534
168,55.716716,37.417087
169,55.544234,37.553143
170,55.544247,37.553956
171,55.246584,37.637762
172,55.716367,37.460709
173,55.832807,37.583024
174,55.743343,37.803155
175,55.592457,37.540601
176,55.864781,37.515461
177,55.84833,37.505137
178,55.930924,37.500779
179,55.754201,37.597158
180,55.854563,37.34572
181,55.855227,37.344414
182,55.749092,38.004526
183,55.594593,38.1179
184,55.69015,37.5716
185,55.784794,37.67027
186,55.753593,37.590198
187,55.957714,38.042438
188,55.958138,38.038724
189,55.741776,37.65838
190,55.737808,37.651988
191,55.893751,37.347193
192,55.867603,37.326151
193,55.730254,37.580738
194,55.415014,37.523516
195,55.679776,37.519236
196,55.910169,37.733831
197,55.652906,37.402325
198,55.652687,37.40349
199,55.734781,37.592367
200,55.713905,37.850299
201,55.738775,37.592422
202,55.818524,37.829202
203,55.818867,37.820095
204,55.82803,37.430094
205,55.669819,37.548881
206,55.667048,37.549412
207,55.835854,37.279064
208,55.938476,37.979125
209,55.732028,37.631966
210,55.761757,37.850428
211,55.754808,37.827175
212,55.865921,37.657226
213,55.805045,37.531904
214,55.880153,37.579307
215,55.757246,37.792496
216,55.910879,36.815725
217,55.910013,37.70673
218,55.938384,37.992896
219,55.943412,37.977042
220,55.909846,38.068214
221,55.918715,37.988865
222,55.922967,37.972115
223,55.665056,37.557473
224,55.664393,37.557998
225,55.92179,37.752257
226,55.900163,37.714305
227,55.913293,37.753322
228,55.907129,37.722628
229,55.911744,37.719466
230,55.817406,37.658101
231,55.606832,37.67741
232,55.691782,37.58565
233,55.927776,37.8547
234,55.65753,37.409366
235,55.835757,37.660578
236,55.910863,37.386445
237,55.738568,37.577109
238,55.419444,37.537772
239,55.416021,37.535389
240,55.41742,37.53556
241,55.739921,37.115906
242,56.067504,37.125047
243,55.864506,38.445599
244,55.856493,37.473152
245,55.760522,37.691306
246,55.866545,37.567813
247,55.860939,37.560558
248,55.857969,37.566441
249,55.645141,37.345874
250,55.81003,37.496166
251,55.748365,37.966896
252,55.833646,37.448602
253,55.78542,37.632054
254,55.740271,37.577315
255,55.750568,37.419011
256,55.751568,37.417661
257,55.775224,37.463137
258,55.736177,37.459479
259,55.241729,38.205195
260,55.79894,37.201668
261,55.869718,37.565873
262,55.870308,37.567897
263,55.846706,37.429578
264,55.826108,37.464402
265,55.824144,37.261865
266,55.743003,37.625924
267,55.756308,37.585292
268,55.844617,37.553223
269,55.691594,37.399873
270,55.72613,37.564656
271,55.803483,37.776889
272,55.769898,37.606904
273,55.875239,37.540182
274,55.875438,37.541596
275,55.737082,37.571469
276,55.720558,37.569038
277,55.72401,37.560379
