English transcription;latitude;longitude;metro_line_1;metro_line_2;metro_line_3;metro_line_4;metro_line_5;metro_line_6;metro_line_7;metro_line_8;metro_line_9;metro_line_10;metro_line_11;metro_line_12;metro_line_13;metro_line_14;metro_line_15
Taganskaya;55.7418;37.6517;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Paveletskaya;55.7318;37.6379;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Dobryninskaya;55.7291;37.6243;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Oktyabrskaya;55.7297;37.6091;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Park Kultury;55.7357;37.5915;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Medvedkovo;55.8872;37.6613;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Babushkinskaya;55.8694;37.6644;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Sviblovo;55.8552;37.6527;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Botanichesky Sad;55.8449;37.6383;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
VDNKh;55.8211;37.6411;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Alekseyevskaya;55.8088;37.639;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Rizhskaya;55.7936;37.6362;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prospekt Mira;55.7812;37.6318;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Sukharevskaya;55.7733;37.6319;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Turgenevskaya;55.7661;37.6374;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Kitay-gorod;55.7553;37.6333;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Tretyakovskaya;55.7412;37.6274;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
Oktyabrskaya;55.7306;37.6112;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Shabolovskaya;55.7198;37.6083;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Leninsky Prospekt;55.7077;37.5861;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Akademicheskaya;55.6877;37.5733;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Profsoyuznaya;55.678;37.5627;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Novye Cheryomushki;55.6702;37.5544;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Kaluzhskaya;55.6571;37.5405;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Belyayevo;55.6428;37.5257;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Konkovo;55.6333;37.5188;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Tyoply Stan;55.6191;37.5082;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Yasenevo;55.6063;37.5333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Novoyasenevskaya;55.601;37.5541;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
Planernaya;55.8607;37.4364;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Skhodnenskaya;55.8505;37.4396;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Tushinskaya;55.8267;37.4368;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Spartak;55.8182;37.4352;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Shchukinskaya;55.8086;37.4641;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Oktyabrskoye Polye;55.7935;37.4935;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polezhayevskaya;55.7775;37.5192;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
Begovaya;55.7738;37.5468;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Ulitsa 1905 Goda;55.765;37.5613;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Barrikadnaya;55.7612;37.5795;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Pushkinskaya;55.765;37.6079;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
Kuznetsky Most;55.7606;37.6259;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Kitay-gorod;55.7553;37.6333;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Taganskaya;55.7402;37.6522;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Proletarskaya;55.7319;37.6659;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Volgogradsky Prospekt;55.7253;37.6869;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Tekstilshchiki;55.7088;37.7316;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Kuzminki;55.7056;37.7656;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Ryazansky Prospekt;55.717;37.7933;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Vykhino;55.7156;37.8181;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Lermontovsky Prospekt;55.7013;37.8525;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Zhulebino;55.6855;37.8563;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Kotelniki;55.6743;37.8582;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Rasskazovka;55.6339;37.3347;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Novoperedelkino;55.6396;37.3552;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Borovskoye Shosse;55.6476;37.3701;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Solntsevo;55.6493;37.3909;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Govorovo;55.6595;37.4172;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Ozyornaya;55.6709;37.4491;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Michurinsky Prospekt;55.6896;37.4833;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Ramenki;55.6975;37.4984;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Lomonosovsky Prospekt;55.7069;37.5156;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Minskaya;55.7246;37.497;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Park Pobedy;55.7362;37.5182;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Delovoy Tsentr;55.7475;37.5319;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
Tretyakovskaya;55.7412;37.6274;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
Marksistskaya;55.7411;37.6543;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Ploshchad Ilyicha;55.7472;37.6824;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Aviamotornaya;55.7524;37.7191;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Shosse Entuziastov;55.7576;37.75;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Perovo;55.7511;37.7866;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Novogireyevo;55.7517;37.8166;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Novokosino;55.7451;37.8638;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Altufyevo;55.898;37.587;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bibirevo;55.8838;37.6034;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Otradnoye;55.8633;37.6047;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Vladykino;55.8473;37.5899;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Petrovsko-Razumovskaya;55.8351;37.5745;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Timiryazevskaya;55.8176;37.5765;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Dmitrovskaya;55.8069;37.5817;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Savyolovskaya;55.7927;37.5885;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Mendeleyevskaya;55.781;37.6011;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Tsvetnoy Bulvar;55.7708;37.6187;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Chekhovskaya;55.7644;37.6097;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
Borovitskaya;55.7511;37.6072;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0
Polyanka;55.7379;37.618;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Serpukhovskaya;55.728;37.6246;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Tulskaya;55.7087;37.6229;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Nagatinskaya;55.683;37.6224;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Nagornaya;55.6724;37.6104;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Nakhimovsky Prospekt;55.6627;37.6055;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Sevastopolskaya;55.6524;37.5984;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Chertanovskaya;55.6405;37.6067;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Yuzhnaya;55.6224;37.609;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Prazhskaya;55.6124;37.6044;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ulitsa Akademika Yangelya;55.5949;37.6004;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Annino;55.5828;37.5966;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bulvar Dmitriya Donskogo;55.5693;37.5769;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Seligerskaya;55.865;37.548333;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Verkhnie Likhobory;55.855833;37.561111;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Okruzhnaya;55.846;37.57425;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Petrovsko-Razumovskaya;55.8351;37.5745;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Fonvizinskaya;55.8228;37.5881;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Butyrskaya;55.8133;37.6028;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Maryina Roshcha (Lyublinsko–Dmitrovskaya line);55.7954;37.6162;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Dostoyevskaya;55.7816;37.6151;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Trubnaya;55.7688;37.62;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Sretensky Bulvar;55.7668;37.6392;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Chkalovskaya;55.7565;37.6573;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
Rimskaya;55.7463;37.6819;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Krestyanskaya Zastava;55.7331;37.6673;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Dubrovka;55.7186;37.676;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Kozhukhovskaya;55.7074;37.6851;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Pechatniki (Lyublinsko–Dmitrovskaya line);55.6934;37.727;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Volzhskaya;55.6909;37.753;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lyublino;55.6758;37.7618;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bratislavskaya;55.6597;37.7505;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Maryino;55.65;37.7431;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Borisovo;55.6334;37.7436;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Shipilovskaya;55.6211;37.7437;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Zyablikovo;55.6124;37.7453;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Mnyovniki;55.7585;37.4708;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Narodnoye Opolcheniye;55.7738;37.4844;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Delovoy Tsentr;55.7475;37.5319;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
Shelepikha;55.7567;37.526;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
Khoroshyovskaya;55.7768;37.5207;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
CSKA (Moscow Metro);55.7866;37.5333;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Petrovsky Park;55.7918;37.5571;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Savyolovskaya;55.7936;37.588;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Bittsevsky Park;55.6004;37.5562;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
Lesoparkovaya;55.5821;37.5769;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Ulitsa Starokachalovskaya;55.569;37.5767;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Ulitsa Skobelevskaya;55.5481;37.5546;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Bulvar Admirala Ushakova;55.5455;37.543;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Ulitsa Gorchakova;55.5418;37.5308;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Buninskaya Alleya;55.538;37.5158;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Timiryazevskaya;55.819;37.5789;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Ulitsa Milashenkova;55.8218;37.5911;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Teletsentr;55.8218;37.6089;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Ulitsa Akademika Korolyova;55.8218;37.6269;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
