,latitude,longitude
374,56.187535,36.950398
375,55.449823,37.4026
376,55.419697,37.769879
377,56.307054,38.110324
378,55.929701,36.865734
379,55.410456,37.470994
380,55.597047,38.128415
381,55.781775,38.674
382,56.137748,37.57376
383,55.673766,37.942679
384,55.892481,37.477949
385,55.525444,37.448722
386,55.834849,38.197536
387,55.644029,37.412235
388,55.73357,37.652789
389,56.149165,37.055003
390,55.458734,38.446228
391,55.50282,37.897753
392,56.234973,37.502038
393,55.62055,37.592801
394,55.901104,37.463654
395,56.168242,37.318783
396,55.807255,37.694951
397,55.847337,37.518347
398,55.51075,36.974935
399,55.929432,37.776888
400,55.727545,38.033037
401,55.727062,37.673221
402,55.653699,37.583021
403,55.97818,37.904888
404,55.410165,36.718876
405,56.213041,37.028255
406,55.333687,38.096101
407,55.781532,38.617161
408,55.162325,37.428329
409,55.163047,37.430357
410,55.150356,37.462867
411,55.149072,37.464212
412,55.24131,37.543769
413,55.530972,36.995286
414,55.182979,37.711261
415,55.442335,38.102315
416,55.603144,37.037618
417,55.613627,37.973121
418,55.782093,37.901965
419,55.782121,38.618038
420,55.798973,36.850759
421,55.788903,37.963551
422,55.772375,37.743132
423,55.412956,37.182252
424,55.776786,37.604622
425,55.703594,37.828378
426,55.712373,38.234167
427,55.771023,38.660708
428,55.800003,37.802118
429,55.859621,37.641641
430,55.670927,37.777239
431,56.165764,37.9545
432,55.501432,37.302175
433,55.500375,37.30489
434,55.751405,38.001192
435,55.271164,37.839371
436,55.901028,37.459861
437,55.7587,37.541027
438,55.780824,37.825771
439,55.669901,37.580819
440,55.603253,37.166176
441,55.598582,37.114423
442,55.376816,36.726033
443,55.801828,38.461423
444,55.792127,37.923613
445,55.805631,37.076984
446,55.56751,37.466715
447,55.681712,37.19525
448,55.839104,37.745916
449,56.112783,38.137213
450,55.800649,37.553125
451,55.438248,37.712013
452,55.732511,37.638814
453,55.897206,37.416111
454,55.368522,37.190495
455,56.144741,36.828584
456,55.934139,37.841567
457,56.185383,36.998137
458,55.846879,38.432799
